net,length_um
_2743_,24.34
_0751_,24.3
_0968_,24.3
_3389_,24.3
_2155_,24.28
_0661_,24.26
_2905_,24.24
_1686_,24.22
_2536_,24.2
_2857_,24.2
_1355_,24.18
_1307_,24.12
_0079_,24.1
_1252_,24.06
_0706_,24
_2990_,24
_0905_,23.96
_1954_,23.96
_1814_,23.92
_3047_,23.92
_0526_,23.9
_0358_,23.88
_0836_,23.88
_1851_,23.84
_1049_,23.82
_1866_,23.82
_3582_,23.8
_0533_,23.78
_1618_,23.72
_2647_,23.72
_2728_,23.68
_3073_,23.66
_1579_,23.64
_1216_,23.56
_3336_,23.56
_2309_,23.48
_0540_,23.46
_0808_,23.43
_2141_,23.42
_3729_,23.42
_2624_,23.4
_3264_,23.4
_1564_,23.385
net118,23.36
_0239_,23.34
_1879_,23.3
_2169_,23.3
_3391_,23.28
_1471_,23.24
net187,23.22
_0068_,23.2
_1489_,23.2
_0685_,23.195
_2482_,23.17
_2285_,23.16
net192,23.16
_1076_,23.14
_1674_,23.14
_1078_,23.12
_1142_,23.1
_2955_,23.1
_3263_,23.08
_1357_,23.06
_2355_,23.06
_1467_,23.045
_2628_,23.04
_3206_,23.04
_0676_,23.03
_0341_,23.02
_2061_,22.955
_0119_,22.86
_3159_,22.86
_2115_,22.84
_2287_,22.84
_3495_,22.84
_0673_,22.82
_2673_,22.82
_0484_,22.81
_1280_,22.8
_2411_,22.76
_1736_,22.68
_1918_,22.64
_2214_,22.64
_3480_,22.63
_0577_,22.62
_2780_,22.6
_0794_,22.58
_0897_,22.58
_3007_,22.58
net140,22.58
_1309_,22.565
_2098_,22.56
_2936_,22.54
_1132_,22.52
_2446_,22.51
_1362_,22.46
_0463_,22.44
_0421_,22.38
_1591_,22.38
_2656_,22.38
_3583_,22.36
_1224_,22.32
_1499_,22.3
_2211_,22.27
_2505_,22.22
_1180_,22.2
_2847_,22.2
_1394_,22.17
_3390_,22.16
net135,22.16
_0926_,22.14
_1920_,22.08
_0898_,22.04
_1834_,22.035
